2014-10-07 00:31:50,624 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5d7e06: startup date [Tue Oct 07 00:31:50 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-10-07 00:31:52,582 | INFO  | PListStore:[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-10-07 00:31:52,611 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-10-07 00:31:53,406 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 00:31:53,451 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 00:31:53,456 | INFO  | Recovery replayed 7 operations from the journal in 0.04 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 00:31:53,653 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-62973-1412613113506-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-10-07 00:31:53,761 | INFO  | Listening for connections at: tcp://gerrypc:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 00:31:53,764 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:31:53,770 | INFO  | Listening for connections at: amqp://gerrypc:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 00:31:53,772 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:31:53,777 | INFO  | Listening for connections at: stomp://gerrypc:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 00:31:53,779 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:31:53,784 | INFO  | Listening for connections at: mqtt://gerrypc:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 00:31:53,786 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:31:54,792 | INFO  | Listening for connections at ws://gerrypc:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-10-07 00:31:54,794 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:31:54,799 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-62973-1412613113506-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-10-07 00:31:54,807 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-10-07 00:31:55,613 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-10-07 00:31:55,715 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-10-07 00:31:56,378 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-10-07 00:35:01,042 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-62973-1412613113506-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-10-07 00:35:01,053 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:35:01,057 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:35:01,062 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:35:01,067 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:35:01,140 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:35:01,161 | INFO  | PListStore:[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2014-10-07 00:35:01,164 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
